en_sents,vi_sents
"For dessert, Tom ordered chocolate parfait with vanilla ice cream","cho món tráng miệng, tom gọi món sô cô la parfait với kem vani"
"How nice to see you again, Tom.","Rất vui được gặp lại bạn, tom."
They were having marriage problems,họ đã có vấn đề hôn nhân
Why don't you ask Tom yourself?,tại sao bạn không tự hỏi tom?
Tom completed his painting,tom hoàn thành bức tranh của mình
I was bored because I had seen the movie before,tôi đã chán vì tôi đã xem bộ phim trước đó
We wish to avoid generating any difficulties.,Chúng tôi muốn tránh tạo ra bất kỳ khó khăn nào.
An old man came tottering along.,Một ông già đi cùng.
I don't remember ever seeing Tom carrying a red bag.,tôi không nhớ đã từng thấy tom mang một cái túi màu đỏ.
We had a very good time at the dinner,chúng tôi đã có một thời gian rất tốt tại bữa ăn tối
Who do you know in Boston?,bạn biết ai trong boston?
I have a black dog and a white dog.,Tôi có một con chó đen và một con chó trắng.
How often do you go to school in a week?,Bạn đi học bao nhiêu lần trong một tuần?
I could fall in love with you.,tôi có thể yêu bạn
We've faced considerable difficulties in recent times.,Gần đây chúng ta đã gặp phải nhiều khó khăn đáng kể.
He walked out of the room.,Anh ấy đã bước ra khỏi phòng.
I need to talk to you about something.,Tôi cần nói chuyện với bạn về một điều gì đó.
Tom helped Mary move the dresser.,tom giúp mary di chuyển tủ quần áo.
I really dislike that film.,Tôi thực sự không thích bộ phim đó.
Would you be able to send this package for me?,Bạn có thể gửi gói hàng này giúp tôi không?
Make me ten copies.,làm cho tôi mười bản.
I trained under Tom.,Tôi đã học việc dưới sự hướng dẫn của Tom.
Leave me a bit of ice cream.,để lại cho tôi một chút kem.
Your stature is identical to my sister's.,Vóc dáng của bạn giống hệt chị tôi.
Tom is currently not working here.,Tom hiện không làm việc ở đây.
Do you know what these are?,Bạn có biết những thứ này là gì không?
Tom has trouble judging distances.,tom gặp khó khăn trong việc phán đoán khoảng cách.
I can read them all,tôi có thể đọc tất cả
"He is not coming, apparently.","Anh ấy không đến, rõ ràng."
Why did you stop then?,tại sao bạn lại dừng lại
Do you intend to come back?,Bạn có ý định quay lại không?
Let's have a serious talk about your future.,Hãy nói chuyện nghiêm túc về tương lai của bạn.
A bowl received the milk she poured.,Một cái bát đã nhận được sữa cô ấy đổ.
I was in Boston for three weeks during the previous summer.,Tôi đã ở Boston ba tuần trong mùa hè trước.
They're dangerous.,chúng nguy hiểm.
Mrs. North is very proud of her children.,Bà. Bắc rất tự hào về con mình.
I go hunting practically daily.,Hầu như ngày nào tôi cũng đi săn.
Do you know what time Tom usually goes to bed?,Bạn có biết tom thường đi ngủ lúc mấy giờ không?
Do you want to go together?,bạn có muốn đi cùng nhau không
The police are now checking on Tom's alibi.,Cảnh sát hiện đang kiểm tra bằng chứng ngoại phạm của tom.
I need to be out of here first thing tomorrow.,Tôi cần phải ra khỏi đây ngay từ sáng sớm mai.
Mary had no choice but to do it because Tom coerced her.,Mary không có lựa chọn nào khác ngoài làm theo vì Tom đã ép buộc cô ấy.
He was not satisfied with the final bill,anh ta không hài lòng với hóa đơn cuối cùng
I can hardly wait until summer,tôi khó có thể đợi đến mùa hè
I decided to buy a car.,tôi quyết định mua một chiếc xe hơi
"Since Mary gained weight over the winter, I think it's likely her swimsuit won't fit her anymore","Kể từ khi mary tăng cân trong mùa đông, tôi nghĩ có khả năng áo tắm của cô ấy sẽ không còn phù hợp với cô ấy nữa"
You never know for sure,bạn không bao giờ biết chắc chắn
My opinion is that we ought to be honest with Tom.,"Theo tôi, chúng ta nên thành thật với Tom."
It is very short,nó rất ngắn
The cathedral's clock just struck three,Đồng hồ của nhà thờ vừa chạm ba
Tom finally realized there was something wrong.,Tom cuối cùng nhận ra có điều gì đó không đúng.
The flowers smell good.,Những bông hoa thơm tho.
A blizzard is an example of extreme weather conditions.,một trận bão tuyết là một ví dụ về điều kiện thời tiết khắc nghiệt.
I couldn't remember their names.,tôi không thể nhớ tên của họ.
It began to snow heavily as I got off the train.,trời bắt đầu có tuyết rơi dày khi tôi xuống tàu.
We have minimal expectation that he will succeed.,Chúng tôi có rất ít kỳ vọng rằng anh ấy sẽ thành công.
Do you wish to debate this issue?,Bạn có muốn tranh cãi về vấn đề này không?
We're progressing favorably.,Chúng ta đang tiến triển thuận lợi.
They stopped talking as soon as I came into the room.,họ ngừng nói ngay khi tôi vào phòng.
The company gave him a gold watch in acknowledgement of his services.,công ty đã cho anh ta một chiếc đồng hồ vàng để thừa nhận dịch vụ của anh ta.
Tom has no comment at this time.,tom không có bình luận tại thời điểm này.
They are willing to learn English.,họ sẵn sàng học tiếng anh
She'll love him forever.,cô sẽ yêu anh mãi mãi.
Tom was perpetually unhappy.,Tom luôn luôn không vui.
I gave Tom advice to refrain from going out once it was dark.,Tôi đã khuyên Tom kiềm chế việc ra ngoài khi trời đã tối.
She didn't do it out of malice.,cô ấy đã không làm điều đó vì ác ý.
France was at war with Russia,Pháp đã có chiến tranh với Nga
At what point in time did you acquire this structure?,Vào thời điểm nào bạn đã mua lại công trình này?
I suggest you not say anything else.,Tôi đề nghị bạn không nói bất cứ điều gì khác.
Let them do their jobs.,hãy để họ làm công việc của họ
My father will come home at seven.,Bố tôi sẽ về nhà lúc bảy giờ.
There's nothing I want to say to you.,không có gì tôi muốn nói với bạn
I don't like it when you're so busy,tôi không thích nó khi bạn quá bận rộn
Tom doesn't enjoy family gatherings very much.,Tom không tận hưởng những buổi họp mặt gia đình rất nhiều.
Leaping from a moving truck is dangerous.,Nhảy ra khỏi một chiếc xe tải đang chạy rất nguy hiểm.
His French is improving little by little,Tiếng Pháp của anh ấy đang cải thiện từng chút một
He cried out for help in a loud voice,anh kêu lên để được giúp đỡ
This is the significant turning point I've wished for.,Đây là bước ngoặt quan trọng mà tôi đã ước ao.
I perform my duties with dedication.,Tôi thực hiện nhiệm vụ của mình một cách tận tâm.
It's terribly important.,nó cực kỳ quan trọng
I'd like to open a bank account.,Tôi muốn mở một tài khoản ngân hàng.
It's just my luggage.,nó chỉ là hành lý của tôi
Tom has written a very good paper on the production of rubber,Tom đã viết một bài báo rất hay về sản xuất cao su
Would you mind putting on your seatbelt?,Bạn có phiền thắt dây an toàn không?
Why aren't you attending? I'd rather not.,Tại sao bạn không tham gia? Tôi thà không.
He ate twice the amount that you ate.,Anh ấy đã ăn gấp đôi số tiền mà bạn đã ăn.
It's a quarter after six right now.,bây giờ là sáu giờ kém sáu giờ.
Tom let me see a snapshot of his romantic partner.,Tom cho tôi xem một bức ảnh chụp nhanh về người yêu của anh ấy.
The stars look dim because of the city lights,những ngôi sao trông mờ ảo vì ánh đèn thành phố
I have eaten at Chuck's Diner on several occasions,tôi đã ăn ở quán ăn của chuck nhiều lần
A dictionary is an excellent reference book,một cuốn từ điển là một cuốn sách tham khảo tuyệt vời
"Tom isn't here now, but Mary is.","Tom không ở đây bây giờ, nhưng mary là."
The clock has run down for you.,Đồng hồ đã hết giờ đối với bạn.
Convey to Tom that I want to be left undisturbed.,Truyền đạt cho Tom rằng tôi muốn được yên.
Jim successfully suppressed his rage and steered clear of an argument.,Jim đã thành công trong việc kìm nén cơn thịnh nộ và tránh xa một cuộc cãi vã.
How was the universe formed?,vũ trụ được hình thành như thế nào?
Do you miss me at all?,bạn có nhớ tôi không
It is going to rain very soon.,trời sẽ mưa rất sớm
Do you want to get married?,Bạn co muôn cươi không?
The courthouse is on Park Street.,tòa án là trên đường công viên.
I'll get Tom to arrange some sustenance for you.,Tôi sẽ nhờ Tom sắp xếp một chút đồ ăn cho bạn.
The book is very interesting.,Cuốn sách rất thú vị.
"I tried to change her mind, but I couldn't.","tôi đã cố gắng thay đổi suy nghĩ của cô ấy, nhưng tôi không thể."
What I really want is something hot to eat.,những gì tôi thực sự muốn là một cái gì đó nóng để ăn.
"As a matter of fact, his lecture was boring","như một vấn đề thực tế, bài giảng của ông thật nhàm chán"
I reached Kyoto via railway transport.,Tôi đã đến Kyoto bằng phương tiện vận tải đường sắt.
She couldn't study abroad for lack of money,cô ấy không thể đi du học vì thiếu tiền
Do you know how to fix this TV?,Bạn có biết làm thế nào để sửa tv này?
A large family includes Tom.,Một gia đình lớn có Tom.
Would you mind doing a speedy check of these documents?,Bạn có phiền kiểm tra nhanh các tài liệu này không?
Let me take a thorough look.,Hãy để tôi xem xét kỹ lưỡng.
Six youngsters belonged to the Evans family.,Sáu đứa trẻ thuộc về gia đình Evans.
They work hard,họ làm việc chăm chỉ
We would love to work with you.,chúng tôi rất thích làm việc với bạn.
Tom could be anywhere,tom có thể ở bất cứ đâu
I want you to watch this video,tôi muốn bạn xem video này
Please don't tell anybody,xin đừng nói với ai
Do you think you'll be getting more in soon?,Bạn có nghĩ rằng bạn sẽ sớm nhận được nhiều hơn?
Could you tell Tom to come to work an hour early tomorrow?,bạn có thể nói tom đến làm việc sớm một tiếng vào ngày mai không?
Why do you think so?,Tại sao bạn nghĩ vậy?
I'm curious how Tom got you to accept this.,Tôi tò mò không biết Tom đã khiến bạn chấp nhận điều này như thế nào.
I made every effort possible.,Tôi đã cố gắng hết sức có thể.
This is all a big misunderstanding.,đây là một sự hiểu lầm lớn
I wouldn't be privy to Tom's secret.,Tôi sẽ không được biết bí mật của Tom.
"He loves her, but she doesn't like him.","Anh yêu cô, nhưng cô không thích anh."
He was diagnosed by doctors as having a cold.,Anh ấy được các bác sĩ chẩn đoán là bị cảm lạnh.
That's the only appliance that I have.,đó là thiết bị duy nhất mà tôi có.
"I'd like to see it, please.","Tôi muốn nhìn thấy nó, xin vui lòng."
That photograph accompanied the billfold.,Bức ảnh đó đã đi cùng với chiếc ví da.
I found it impossible to accept the unfolding events.,Tôi thấy không thể chấp nhận những sự kiện đang diễn ra.
The president decreed the termination of slavery.,Tổng thống đã ra sắc lệnh chấm dứt chế độ nô lệ.
Japan is in eastern Asia,Nhật Bản là ở Đông Á
We might have rain before long.,Chúng ta có thể có mưa chẳng bao lâu nữa.
I think nothing is more important than friendship,tôi nghĩ không có gì quan trọng hơn tình bạn
Why don't you give it to Tom?,Tại sao bạn không đưa nó cho tom?
I like your painting,tôi thích bức tranh của bạn
I can't pay Tom today.,Tôi không thể trả tom hôm nay.
Her greeting to me was accompanied by a lovely smile.,Lời chào của cô ấy dành cho tôi đi kèm với một nụ cười đáng yêu.
I would like your picture,tôi muốn hình ảnh của bạn
Please don't forget to mail the letters.,xin đừng quên gửi thư.
Consult your dictionary for the unknown terms.,Tham khảo từ điển của bạn cho các thuật ngữ chưa biết.
Mary and Tom were seated together on a park bench.,Mary và Tom đã ngồi cạnh nhau trên một chiếc ghế công viên.
"If the plant is completed next year, a new production manager will have to be hired","Nếu nhà máy được hoàn thành vào năm tới, một giám đốc sản xuất mới sẽ phải được thuê"
It is bad manners to speak with your mouth full.,đó là cách cư xử tệ khi nói với miệng đầy.
We're having a sukiyaki party this Sunday,chúng ta sẽ có một bữa tiệc sukiyaki vào chủ nhật này
She fired a pistol at him.,Cô ấy đã bắn súng lục vào anh ta.
Tom asked about you,tom hỏi về bạn
"This is your chance, Tom","đây là cơ hội của bạn, tom"
What room in your house do you spend the most time in?,bạn ở phòng nào trong nhà nhiều nhất?
The sofa takes up too much room.,ghế sofa chiếm quá nhiều phòng.
Tom will try,tom sẽ cố gắng
Tom knows where the money is hidden.,tom biết tiền được giấu ở đâu.
Should I offer my assistance?,Tôi có nên hỗ trợ bạn không?
Who did Confucius teach?,Khổng Tử đã dạy ai?
What was your childhood home?,Nơi bạn lớn lên là ở đâu?
Tom had no intention on waiting until Mary got back,tom không có ý định chờ đợi cho đến khi mary trở lại
The office has been transferred up to the sixth floor.,văn phòng đã được chuyển lên tầng sáu.
"We can count on Tom to provide us with a loan of $3,000.",Chúng tôi có thể tin tưởng Tom sẽ cho chúng tôi vay 3.000 đô la.
That fact is undeniable.,Sự thật đó là không thể phủ nhận.
Tom's company went public.,công ty của tom đã được công khai.
A grand victory led our team's return home.,Một chiến thắng lớn đã dẫn đến việc đội của chúng tôi trở về nhà.
I enjoyed myself last evening.,Tối qua tôi đã rất vui.
Tom certainly is fat.,Tom chắc chắn là béo.
Tom's injuries are grave.,Vết thương của Tom rất nghiêm trọng.
Would you mind dropping by my office when you're free?,Bạn có phiền ghé qua văn phòng của tôi khi rảnh không?
The president's death caused great sorrow,cái chết của tổng thống gây ra nỗi buồn lớn
A typhoon prevented us from going on our trip to Okinawa,một cơn bão đã ngăn chúng tôi đi vào chuyến đi đến okinawa
My counsel to Tom was to avoid going out when it's dark.,Lời khuyên của tôi cho Tom là tránh ra ngoài khi trời tối.
The doctor warned me to stay away from booze,bác sĩ cảnh báo tôi tránh xa rượu
It was only to be expected; I should have realized.,Điều này là hoàn toàn có thể đoán trước được; lẽ ra tôi phải nhận ra.
Tom decided it was up to him to make the final decision,Tom quyết định tùy thuộc vào anh ta để đưa ra quyết định cuối cùng
People of all ages like this song.,mọi người ở mọi lứa tuổi đều thích bài hát này
I'm not sad.,Tôi không buôn.
He got out of the cab in haste.,Anh vội vã bước ra khỏi chiếc taxi.
Tom has returned from Boston,tom đã trở về từ boston
Don't leave the air-conditioner on,đừng để điều hòa
I want to find out how many people died in that accident,tôi muốn tìm hiểu có bao nhiêu người chết trong vụ tai nạn đó
You should ask Mary out,bạn nên hỏi mary
I'm not the one who should be doing this,tôi không phải là người nên làm việc này
I instructed my spouse in driving.,Tôi đã chỉ dạy vợ mình cách lái xe.
"Since he was honest, I hired him","kể từ khi anh ấy thành thật, tôi đã thuê anh ấy"
Please proceed with the account closure.,Xin hãy tiến hành đóng tài khoản.
We should write a formal letter to the director.,chúng ta nên viết một lá thư chính thức cho giám đốc.
Sydney is the largest city in Australia.,sydney là thành phố lớn nhất ở Úc.
Tom looked at the floor,tom nhìn sàn nhà
I told you not to talk to Tom.,tôi đã nói với bạn không nói chuyện với tom.
My luggage is limited to just this item.,Hành lý của tôi chỉ giới hạn ở món đồ này.
Help yourself to these cookies.,giúp mình với những cái bánh quy
I'd like to make an appointment with Dr. King.,Tôi muốn làm một cuộc hẹn với dr. nhà vua.
"Obviously, you don't understand.","rõ ràng, bạn không hiểu."
There's no doubt about it.,Không có gì phải nghi ngờ về điều đó.
"The old cottage had only one bed, so we all took turns sleeping in it.","ngôi nhà cũ chỉ có một cái giường, vì vậy tất cả chúng tôi thay phiên nhau ngủ trong đó."
How on earth did Tom convince you of this?,Làm thế quái nào mà Tom lại thuyết phục được bạn về việc này?
He taught me how to write,anh ấy dạy tôi viết
It was the doctors' opinion that he had caught a cold.,"Theo ý kiến của các bác sĩ, anh ấy đã bị cảm lạnh."
What were you like when you were fifteen?,Bạn thích gì khi bạn mười lăm tuổi?
It was necessary to take some measures.,Cần phải thực hiện một số biện pháp.
He is looked up to as their leader,anh ấy được coi là người lãnh đạo của họ
"In many cultures, men and women dress differently","trong nhiều nền văn hóa, đàn ông và phụ nữ ăn mặc khác nhau"
He came up with a terrific solution to the complex problem,ông đã đưa ra một giải pháp tuyệt vời cho vấn đề phức tạp
Now stay there.,bây giờ ở lại đó
Would a 5% customized discount be feasible for our purchase of 50 product collections?,Mức chiết khấu tùy chỉnh 5% có khả thi cho việc mua 50 bộ sản phẩm của chúng tôi không?
The child is unwell and has been hospitalized since the previous Sunday.,Đứa trẻ không khỏe và đã nhập viện từ Chủ nhật tuần trước.
He explained to me how to use the machine.,Anh giải thích cho tôi cách sử dụng máy.
Tom filled the empty glass with ice.,tom đổ đầy ly rỗng với đá.
His words to her were utterly merciless.,Lời nói của anh ấy với cô ấy hoàn toàn tàn nhẫn.
Would you mind quickly scanning through these files?,Bạn có phiền nhanh chóng quét qua các tập tin này không?
My concern is that I utterly failed.,Điều tôi lo lắng là tôi đã thất bại hoàn toàn.
Here comes our teacher.,giáo viên của chúng ta đến đây
It's impossible for me to dedicate that much time.,Tôi không thể dành nhiều thời gian đến vậy.
What's the cash limit on this card?,giới hạn tiền mặt trên thẻ này là gì?
I read the book.,tôi đọc sách.
She'll cry even when no one is looking.,cô ấy sẽ khóc ngay cả khi không ai nhìn.
I moved here yesterday,tôi đã chuyển đến đây ngày hôm qua
She managed to drive a car,cô ấy đã lái xe
They sought to wrench the lock open with a metal pole.,Họ đã tìm cách cạy khóa bằng một thanh kim loại.
I'm going to have Tom provide you with a bite to eat.,Tôi sẽ nhờ Tom cung cấp cho bạn một chút đồ ăn.
Can we do anything to help Tom?,chúng ta có thể làm gì để giúp tom không?
We are faced with new kinds of diseases,chúng ta đang phải đối mặt với những loại bệnh mới
There are many factories in this part of the city,có nhiều nhà máy ở khu vực này của thành phố
I ran without stopping until I reached the station.,Tôi đã chạy không ngừng nghỉ cho đến khi đến nhà ga.
I've completed a three-mile run.,Tôi đã chạy được quãng đường ba dặm.
"The sum of 2,000 yen was what I gave for this atlas.",Tổng cộng 2.000 yên là số tiền tôi đã trả cho tập bản đồ này.
He confessed to having taken the treasure.,Anh ấy đã thú nhận việc lấy trộm kho báu.
I finally got through the test,tôi cuối cùng đã vượt qua bài kiểm tra
Do you consider Tom to lack principles?,Bạn có nghĩ Tom thiếu nguyên tắc không?
Tom smiled at himself in the mirror,Tom mỉm cười với chính mình trong gương
Do you drive a manual or automatic?,bạn lái xe bằng tay hay tự động?
The leaves fell.,những chiếc lá rơi.
None of us is perfect.,Không ai trong chúng ta là hoàn hảo cả.
I am in possession of some fried dough confectionery.,Tôi đang sở hữu một ít bánh ngọt chiên.
Many of us are more captivating than the world gives us credit for.,Nhiều người trong chúng ta quyến rũ hơn những gì thế giới đánh giá cao.
Tom plans to buy a new motorcycle,tom có kế hoạch mua một chiếc xe máy mới
Do you want to buy an umbrella?,bạn có muốn mua một cái ô không?
She always gets up at six,cô ấy luôn thức dậy lúc sáu giờ
Everything that lives will die sometime.,đôi khi mọi thứ sẽ sống
"I don't know my address yet, I'm going to stay with my friend for a while","tôi chưa biết địa chỉ của mình, tôi sẽ ở lại với bạn tôi một lúc"
Jumping off a truck that's still driving is unsafe.,Nhảy khỏi một chiếc xe tải vẫn đang chạy là không an toàn.
She undertook the responsibility for the project,cô đảm nhận trách nhiệm cho dự án
How would my parents react if they learned about it?,Bố mẹ tôi sẽ phản ứng thế nào nếu họ biết chuyện đó?
The two men had much in common.,Hai người có nhiều điểm chung.
Putting it at stake is not an option.,Đặt nó vào tình thế rủi ro không phải là một lựa chọn.
He is afraid to fly in an airplane,anh ấy sợ bay trên máy bay
Tom swears too much,tom thề quá nhiều
I won't be bothering you anymore,tôi sẽ không làm phiền bạn nữa
You should confer with your attorney on this matter.,bạn nên trao đổi với luật sư về vấn đề này.
Do you want to talk about the matter?,Bạn có muốn nói về vấn đề này?
It was my dream.,đó là giấc mơ của tôi
I am in the care of a doctor at this time.,Lúc này tôi đang được một bác sĩ chăm sóc.
Let me think it over for a couple of days.,hãy để tôi nghĩ về nó trong một vài ngày
I'll get some for you right away.,Tôi sẽ lấy một ít cho bạn ngay lập tức.
Oranges are sweeter than lemons.,cam ngọt hơn chanh.
I've never heard him complaining about his meals.,Tôi chưa bao giờ nghe anh ta phàn nàn về bữa ăn của mình.
A burglar broke into the house.,Một tên trộm đột nhập vào nhà.
My breakfast time is seven sharp.,Thời gian ăn sáng của tôi là đúng bảy giờ.
Night is when most people sleep,đêm là lúc hầu hết mọi người ngủ
I'm going to send my mother some flowers.,Tôi sẽ gửi cho mẹ tôi một vài bông hoa.
Tom balled his hands into fists,tom nắm tay thành nắm đấm
I washed the dishes after supper.,Tôi rửa chén sau bữa ăn tối.
My objective is to locate batteries.,Mục tiêu của tôi là tìm pin.
"Tom doesn't want to be a doctor, although he's very good in science","Tom không muốn trở thành bác sĩ, mặc dù anh ấy rất giỏi về khoa học"
I found Tom's diary,tôi tìm thấy nhật ký của tom
I didn't steal it,tôi đã không ăn cắp nó
I have a table,tôi có một cái bàn
I'm glad that you came,tôi rất vui vì bạn đã đến
Tom would like to go on a promenade.,Tom muốn đi bộ hóng mát.
I was a first year student last year,tôi là sinh viên năm thứ nhất năm ngoái
My emotions are not vulnerable to you.,Cảm xúc của tôi không dễ bị bạn tổn thương.
There is a rock in my shoe.,Có một tảng đá trong giày của tôi.
It was a lie.,đó là một lời nói dối
Tom made a bookcase,tom làm một tủ sách
I dropped in just to mention that I'll be absent from this week's session.,Tôi ghé qua chỉ để nói rằng tôi sẽ vắng mặt trong buổi họp tuần này.
It's evident to me that Tom is suffering.,Rõ ràng là Tom đang đau khổ.
Some individuals choose not to wear nightwear.,Một số cá nhân chọn không mặc đồ ngủ.
I don't need to be here right now.,Tôi không cần phải ở đây ngay bây giờ.
Tom has been uncooperative.,tom đã không hợp tác.
Would you like anything to drink?,bạn có muốn uống gì không
Eat what you want.,ăn những gì bạn muốn
My advice to Tom was to stay in after sunset.,Lời khuyên của tôi dành cho Tom là nên ở nhà sau khi mặt trời lặn.
There is less time than I thought,có ít thời gian hơn tôi nghĩ
My parents worry about my health,bố mẹ tôi lo lắng cho sức khỏe của tôi
I need everything on this list,tôi cần mọi thứ trong danh sách này
Tom definitely should have gotten the death sentence,Tom chắc chắn đã nhận bản án tử hình
He will come provided that he is well enough,anh ấy sẽ đến với điều kiện là anh ấy đủ khỏe
I can feel it in my gut,tôi có thể cảm thấy nó trong ruột của tôi
What prevented Tom from informing his spouse?,Điều gì đã khiến Tom không báo cho vợ mình biết?
It's a French-made machine.,Đây là một chiếc máy được sản xuất tại Pháp.
This is the only thing that was left.,đây là thứ duy nhất còn lại
It was disgraceful,thật là ô nhục
It's no use pretending that you can't speak French.,không có ích gì khi giả vờ rằng bạn không thể nói tiếng Pháp.
You always have a plan,bạn luôn có kế hoạch
Tom has something in his right hand,tom có một cái gì đó trong tay phải của mình
When was the last time you made Mary cry?,Lần cuối bạn khóc mary là khi nào?
What is the rate per day?,tỷ lệ mỗi ngày là gì?
You did not need to come so early.,bạn không cần phải đến sớm như vậy.
Could you quiet down? I'm attempting to nap.,Bạn có thể yên lặng không? Tôi đang cố gắng ngủ trưa.
There's only one possible explanation,chỉ có một lời giải thích khả dĩ
This is by far the best novel that has been published this year,đây là cuốn tiểu thuyết hay nhất đã được xuất bản năm nay
I imagined you might be available to help out.,Tôi hình dung bạn có thể rảnh để giúp đỡ.
He withheld comment regarding the situation.,Anh ấy đã từ chối bình luận về tình hình.
I buried it,tôi đã chôn nó
Nancy didn't mind living abroad by herself.,Nancy không ngại sống ở nước ngoài một mình.
Is there any truth to the claim that Tom saw someone get murdered?,Có thật sự có bằng chứng cho lời khai rằng Tom đã thấy ai đó bị sát hại không?
The path to knowledge is never simple.,Con đường đến với kiến thức không bao giờ đơn giản.
He doesn't show his true feelings.,anh ấy không thể hiện cảm xúc thật của mình.
This has been fun,điều này thật thú vị
What is Tom's age?,Tuổi của Tom là bao nhiêu?
"""Everybody is invited."" ""Even Tom?""","""mọi người đều được mời."" ""thậm chí tom?"""
We're facing an issue because a portion of our bills hasn't been settled.,Chúng tôi đang gặp vấn đề vì một phần hóa đơn của chúng tôi chưa được thanh toán.
It was foolish of her to accompany him on a date.,Thật ngớ ngẩn khi cô ấy đi hẹn hò với anh ta.
We really thank you for your patronage.,chúng tôi thực sự cảm ơn bạn đã bảo trợ của bạn.
He will come back soon.,Anh sẽ quay lại sớm.
How long has George studied Portuguese?,George đã học tiếng Bồ Đào Nha bao lâu rồi?
I don't drink a lot,tôi không uống nhiều
The exact details of what occurred remain uncertain for us.,Chi tiết chính xác về những gì đã xảy ra vẫn còn không chắc chắn đối với chúng tôi.
I'm trying to locate some power cells.,Tôi đang cố gắng tìm một vài cục pin.
Why don't you sing?,tại sao bạn không hát
"We know that if we have this problem, then everybody else has this problem, too.","chúng tôi biết rằng nếu chúng tôi có vấn đề này, thì những người khác cũng có vấn đề này."
Tom has no alternative.,tom không có sự thay thế.
I'll call on you at your office tomorrow.,Tôi sẽ gọi cho bạn tại văn phòng của bạn vào ngày mai.
What should you do if you find a big spider on your bed?,Bạn nên làm gì nếu bạn tìm thấy một con nhện lớn trên giường của bạn?
A big earthquake occurred in Tokyo,một trận động đất lớn xảy ra ở Tokyo
You can eat any mushroom once.,bạn có thể ăn bất kỳ loại nấm nào một lần.
This week has been terribly busy for both of us.,tuần này đã rất bận rộn cho cả hai chúng tôi.
Tom failed to pass the final exam.,tom không vượt qua kỳ thi cuối cùng
I didn't think you could keep it a secret,tôi không nghĩ bạn có thể giữ bí mật
I received a letter written in English,tôi đã nhận được một lá thư viết bằng tiếng Anh
I'll look after our guests.,Tôi sẽ chăm sóc khách của chúng tôi.
Can you help Tom understand what's logical?,Bạn có thể giúp Tom hiểu điều gì là hợp lý không?
I try not to dwell on the past.,tôi cố gắng không để quá khứ.
They will go to any lengths to attain their political objectives.,Họ sẽ làm mọi cách để đạt được mục tiêu chính trị của mình.
She held on for me to respond.,Cô ấy kiên nhẫn chờ tôi trả lời.
Would you mind sewing these buttons on for me?,Bạn có phiền khâu những chiếc nút này vào giúp tôi không?
There are a number of shops selling foreign books and periodicals,có một số cửa hàng bán sách nước ngoài và định kỳ
I'm volunteering my help to you at this moment.,Tôi đang tình nguyện giúp bạn ngay lúc này.
You look busy,bạn trông có vẻ bận rộn
She can speak three foreign languages,cô ấy có thể nói ba ngoại ngữ
Congress refused to act.,Đại hội từ chối hành động.
Come on in and make yourself at home,hãy vào và làm cho mình ở nhà
What would you have said?,bạn sẽ nói gì
It looks like you were wrong,có vẻ như bạn đã sai
Maybe you didn't hear me.,có lẽ bạn đã không nghe tôi.
They gave me what I wanted.,họ đã cho tôi những gì tôi muốn.
What was that loud crash in the kitchen?,sự cố lớn trong nhà bếp là gì?
What is your idea?,ý tưởng của bạn là gì?
The state of affairs is steadily declining.,Tình hình đang suy giảm đều đặn.
Tom always does things the same old way,tom luôn làm mọi thứ theo cách cũ
The Evans family had a total of six offspring.,Gia đình Evans có tổng cộng sáu người con.
Don't you have work today?,hôm nay bạn không có việc à
No one can hear us.,không ai có thể nghe thấy chúng tôi
I'm not so sure about that.,Tôi không chắc về điều đó.
Tom isn't that naive.,Tom không ngây thơ đến thế.
He picked up the book.,Anh nhặt quyển sách lên.
We're getting nowhere with those problems.,chúng ta không đi đến đâu với những vấn đề đó
You don't need to be afraid of making mistakes.,bạn không cần phải sợ phạm sai lầm.
My father helped me with my homework,cha tôi đã giúp tôi làm bài tập về nhà
Her questions indicate that she understands the subject very well,câu hỏi của cô cho thấy cô hiểu rất rõ chủ đề
That has been accomplished by me on three occasions.,Điều đó đã được tôi hoàn thành ba lần rồi.
The President called on everyone to save energy,Tổng thống kêu gọi mọi người tiết kiệm năng lượng
Would you describe Tom as unscrupulous?,Bạn có mô tả Tom là người vô liêm sỉ không?
Is there any danger of radiation?,Có nguy hiểm về phóng xạ không?
He was very unkind to say those things to her.,Anh ấy thật vô tâm khi nói những điều đó với cô ấy.
A fire broke out on the second floor of the building.,một đám cháy bùng phát trên tầng hai của tòa nhà.
It looks like Tom is happy.,Có vẻ như Tom đang vui.
Tom ate breakfast by himself.,tom ăn sáng một mình.
He doesn't seem to be a very intelligent boy,anh ấy không có vẻ là một cậu bé rất thông minh
It's not necessary to exert yourself so much when you're weary.,Không cần thiết phải cố gắng nhiều như vậy khi bạn mệt mỏi.
We never would have allowed Tom to do that,chúng tôi không bao giờ cho phép tom làm điều đó
I'm glad it's all over,tôi rất vui vì tất cả
Tom was gone,tom đã biến mất
He went abroad soon after his father,ông ra nước ngoài ngay sau khi cha
"We don't want this to get damaged, do we?","chúng ta không muốn điều này bị hư hại, phải không?"
Tom is expecting a response.,Tom đang mong đợi một phản hồi.
I know where Tom's office is,tôi biết văn phòng của tom ở đâu
The treaty gave the United States a canal zone,Hiệp ước đã cho các quốc gia thống nhất một khu vực kênh
I don't intend to do what Tom told me to do,tôi không có ý định làm những gì tom bảo tôi làm
She never told me.,cô ấy không bao giờ nói với tôi
